sample_id,task_type,natural_language_request_ko,sensitive_fields_json,sensitive_categories,expected_answer_normalized,c3_required,c3_relation_type,notes
B3-001,firewall_config,UE IMSI 001010000000101이고 IP가 10.20.3.45인 단말의 트래픽을 gNB-7에서 차단하는 방화벽 규칙을 만들어줘.,"{""IMSI"": ""001010000000101"", ""IP"": ""10.20.3.45"", ""gNB_ID"": ""gNB-7""}",User identity;Location and mobility;Policy and configuration,firewall add action=deny src_ip=10.20.3.45 imsi=001010000000101 access_node=gNB-7,no,none,
B3-002,firewall_config,10.20.3.46에서 203.0.113.40:443으로 나가는 트래픽을 막아줘. 가입자는 IMSI 001010000000102야.,"{""IMSI"": ""001010000000102"", ""src_ip"": ""10.20.3.46"", ""dst_ip"": ""203.0.113.40"", ""dst_port"": ""443""}",User identity;Traffic metadata;Policy and configuration,firewall add action=deny src_ip=10.20.3.46 dst_ip=203.0.113.40 dst_port=443 imsi=001010000000102,no,none,
B3-003,firewall_config,"로그 두 줄을 보고 같은 단말이면 동일한 차단 규칙 하나로 정리해줘.
log1: IMSI=001010000000103 IP=10.20.4.11 CELL=Cell-17A event=scan_detected
log2: IMSI=001010000000103 IP=10.20.4.11 CELL=Cell-18C event=scan_detected","{""IMSI"": ""001010000000103"", ""IP"": ""10.20.4.11"", ""CELL_IDs"": [""Cell-17A"", ""Cell-18C""]}",User identity;Location and mobility;Traffic metadata;Policy and configuration,firewall add action=deny src_ip=10.20.4.11 imsi=001010000000103 scope=all_cells,yes,same_imsi_same_ip_across_logs,C3: same IMSI/IP appears in two lines and must remain one entity.
B3-004,firewall_config,gNB-8에서 UE 001010000000104의 UDP 53 트래픽을 드롭해줘. 현재 IP는 10.20.5.22이야.,"{""IMSI"": ""001010000000104"", ""IP"": ""10.20.5.22"", ""gNB_ID"": ""gNB-8"", ""protocol"": ""UDP"", ""dst_port"": ""53""}",User identity;Location and mobility;Traffic metadata;Policy and configuration,firewall add action=deny src_ip=10.20.5.22 imsi=001010000000104 proto=UDP dst_port=53 access_node=gNB-8,no,none,
B3-005,firewall_config,Cell Cell-21B에서 IP 10.21.1.15가 반복적으로 198.51.100.25에 접속해. 이 목적지로 가는 트래픽만 차단해줘.,"{""src_ip"": ""10.21.1.15"", ""dst_ip"": ""198.51.100.25"", ""CELL_ID"": ""Cell-21B""}",User identity;Location and mobility;Traffic metadata;Policy and configuration,firewall add action=deny src_ip=10.21.1.15 dst_ip=198.51.100.25 cell=Cell-21B,no,none,
B3-006,firewall_config,IMSI 001010000000105 / SUPI imsi-001010000000105 단말이 gNB-12에서 의심 트래픽을 보냄. 해당 단말 전체 아웃바운드를 차단하는 규칙을 만들어줘.,"{""IMSI"": ""001010000000105"", ""SUPI"": ""imsi-001010000000105"", ""gNB_ID"": ""gNB-12""}",User identity;Location and mobility;Policy and configuration,firewall add action=deny imsi=001010000000105 supi=imsi-001010000000105 access_node=gNB-12 direction=outbound,no,none,
B3-007,firewall_config,"다음 이벤트에서 같은 IP가 여러 목적지로 스캔 중이야. src IP 10.21.1.16를 10분 동안 차단해줘.
flowA: 10.21.1.16 -> 192.0.2.10:22
flowB: 10.21.1.16 -> 192.0.2.11:22
flowC: 10.21.1.16 -> 203.0.113.41:22","{""src_ip"": ""10.21.1.16"", ""dst_ips"": [""192.0.2.10"", ""192.0.2.11"", ""203.0.113.41""], ""dst_port"": ""22""}",User identity;Traffic metadata;Policy and configuration,firewall add action=deny src_ip=10.21.1.16 duration=10m reason=multi_destination_scan,yes,same_ip_multiple_flows,C3: same source IP appears across three flows.
B3-008,firewall_config,가입자 001010000000106가 Cell-22D에서 차단 목록의 서버 203.0.113.40에 접근했어. 이 IMSI 기준으로 그 서버 접근만 막아줘.,"{""IMSI"": ""001010000000106"", ""CELL_ID"": ""Cell-22D"", ""dst_ip"": ""203.0.113.40""}",User identity;Location and mobility;Traffic metadata;Policy and configuration,firewall add action=deny imsi=001010000000106 dst_ip=203.0.113.40 cell=Cell-22D,no,none,
B3-009,firewall_config,IP 10.22.7.80에서 TCP 25 대량 발송이 보여. UE-ID UE-000107 기준으로 SMTP만 차단해줘.,"{""UE_ID"": ""UE-000107"", ""IP"": ""10.22.7.80"", ""protocol"": ""TCP"", ""dst_port"": ""25""}",User identity;Traffic metadata;Policy and configuration,firewall add action=deny ue_id=UE-000107 src_ip=10.22.7.80 proto=TCP dst_port=25,no,none,
B3-010,firewall_config,gNB-15의 Cell Cell-31A에서 IMSI 001010000000108가 알려진 C2 IP 198.51.100.26으로 연결해. C2 목적지 차단 규칙 생성해줘.,"{""IMSI"": ""001010000000108"", ""gNB_ID"": ""gNB-15"", ""CELL_ID"": ""Cell-31A"", ""dst_ip"": ""198.51.100.26""}",User identity;Location and mobility;Traffic metadata;Policy and configuration,firewall add action=deny imsi=001010000000108 dst_ip=198.51.100.26 access_node=gNB-15 cell=Cell-31A,no,none,
